City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Tsarychanka,UA,48.937,34.4786,37.58,80,33,10.65,scattered clouds
327,Harlingen,US,26.1906,-97.6961,73.99,88,40,13.8,scattered clouds
328,Kudahuvadhoo,MV,2.6708,72.8944,83.03,69,81,10.02,broken clouds
329,Dubbo,AU,-32.25,148.6167,80.6,47,40,17.27,scattered clouds
330,Inhambane,MZ,-23.865,35.3833,67.57,76,0,4.27,clear sky
331,Kuala Terengganu,MY,5.3302,103.1408,82.4,89,40,9.22,scattered clouds
332,Evensk,RU,61.95,159.2333,19.62,59,41,8.52,scattered clouds
333,Pangkalanbuun,ID,-2.6833,111.6167,89.8,54,99,3.53,overcast clouds
334,San Quintin,MX,30.4833,-115.95,60.37,81,5,15.43,clear sky
335,Goderich,CA,43.7501,-81.7165,44.6,76,65,5.75,broken clouds
336,Alofi,NU,-19.0595,-169.9187,80.6,83,100,6.91,light rain
337,Tabuk,PH,17.4189,121.4443,81.86,63,59,7.07,broken clouds
338,Coihaique,CL,-45.5752,-72.0662,57.2,62,90,6.91,overcast clouds
339,Sukumo,JP,32.9333,132.7333,56.35,70,96,1.39,overcast clouds
340,Verkhovye,RU,52.8119,37.2425,32.54,85,17,7.52,few clouds
341,Garowe,SO,8.4054,48.4845,69.46,74,50,8.03,scattered clouds
342,Guadalupe Y Calvo,MX,26.1,-106.9667,49.66,40,7,2.15,clear sky
343,Basco,PH,20.4487,121.9702,74.3,71,100,15.19,overcast clouds
344,Qandala,SO,11.472,49.8728,78.94,48,6,3.98,clear sky
345,Raudeberg,NO,61.9875,5.1352,34.0,90,100,38.05,snow
346,Riyadh,SA,24.6877,46.7219,64.4,15,0,4.61,clear sky
347,Gravdal,NO,68.1214,13.5031,37.44,92,100,34.18,overcast clouds
