City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Kalmunai,LK,2021-03-31 21:56:19,7.4167,81.8167,78.46,84,78,5.23
188,Salalah,OM,2021-03-31 21:56:19,17.0151,54.0924,82.4,26,0,6.91
189,Changji,CN,2021-03-31 21:56:20,44.0167,87.3167,37.4,81,0,4.47
190,Ilhabela,BR,2021-03-31 21:56:20,-23.7781,-45.3581,71.73,80,55,7.94
191,Nueve De Julio,AR,2021-03-31 21:56:20,-35.4444,-60.8831,64.11,63,3,8.52
192,Ghorawal,IN,2021-03-31 21:56:21,24.7667,82.7833,72.81,8,0,4.83
193,Aranjuez,ES,2021-03-31 21:56:21,40.0311,-3.6025,62.6,39,0,11.5
194,Yebaishou,CN,2021-03-31 21:56:21,41.3975,119.6408,48.34,39,100,6.17
195,Airai,TL,2021-03-31 21:56:22,-8.9266,125.4092,59.36,94,99,0.98
196,Hirara,JP,2021-03-31 21:56:22,24.8,125.2833,75.2,100,75,10.36
197,Winchester,GB,2021-03-31 21:56:22,51.0651,-1.3187,55.4,71,20,1.01
198,Dhankuta,NP,2021-03-31 21:56:23,26.9833,87.3333,57.02,72,5,6.33
199,Champerico,GT,2021-03-31 21:56:23,14.3,-91.9167,93.2,52,75,11.5
200,Bud,US,2021-03-31 21:56:23,39.447,-86.1758,48.99,39,100,15.35
201,Boa Vista,BR,2021-03-31 21:56:23,2.8197,-60.6733,87.8,45,20,9.22
202,Cumana,VE,2021-03-31 21:53:26,10.4635,-64.1775,77.18,84,100,17.45
203,Amarante Do Maranhao,BR,2021-03-31 21:56:24,-5.5667,-46.7422,73.92,95,100,2.86
204,Itoman,JP,2021-03-31 21:56:24,26.1247,127.6694,73.4,94,75,2.3
205,Vila Franca Do Campo,PT,2021-03-31 21:56:25,37.7167,-25.4333,59.0,88,20,8.05
206,Tricase,IT,2021-03-31 21:56:25,39.9304,18.3553,51.8,100,0,4.61
207,Ancud,CL,2021-03-31 21:56:26,-41.8697,-73.8203,62.6,72,0,4.61
208,Lucea,JM,2021-03-31 21:56:26,18.451,-78.1736,86.0,62,40,4.61
209,Bethel,US,2021-03-31 21:56:26,41.3712,-73.414,62.6,67,90,12.66
